epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.115,1.80853,2.32254,1.35743,0.90592,0.24831,0.48417,0.2552,1.55675,2.53838,1.32433,0.000549352,0.000549352,0.000549352
2,540.634,1.56358,1.44254,1.23107,0.58474,0.58354,0.58369,0.29669,1.5454,1.7623,1.35047,0.00108314,0.00108314,0.00108314
3,805.468,1.51936,1.30229,1.22503,0.63701,0.62254,0.66079,0.33281,1.54342,1.64749,1.39369,0.00159492,0.00159492,0.00159492
4,1071.23,1.51801,1.23224,1.21523,0.76716,0.68145,0.70235,0.36207,1.43201,1.50586,1.35261,0.00156798,0.00156798,0.00156798
5,1335.28,1.45721,1.14694,1.18871,0.77476,0.71017,0.75454,0.42624,1.37854,1.22838,1.35222,0.00153497,0.00153497,0.00153497
6,1589.69,1.43862,1.11139,1.19789,0.81043,0.75194,0.77627,0.42149,1.46348,1.1691,1.34713,0.00150197,0.00150197,0.00150197
7,1845.64,1.41843,1.04718,1.18836,0.77556,0.7714,0.78598,0.43716,1.37597,1.11556,1.37344,0.00146896,0.00146896,0.00146896
8,2100.25,1.39218,1.00675,1.17086,0.74629,0.71338,0.75708,0.39433,1.38642,1.21224,1.33629,0.00143595,0.00143595,0.00143595
9,2355.55,1.39612,0.98095,1.16184,0.77321,0.66881,0.7417,0.42672,1.31794,1.15307,1.28832,0.00140295,0.00140295,0.00140295
10,2608.66,1.39472,0.98213,1.14643,0.81565,0.70357,0.79611,0.44158,1.41964,1.01656,1.36101,0.00136994,0.00136994,0.00136994
11,2866.1,1.36134,0.91844,1.13506,0.84158,0.72434,0.8068,0.45536,1.29855,1.02922,1.25785,0.00133693,0.00133693,0.00133693
12,3116.23,1.29918,0.8899,1.12689,0.7718,0.82019,0.82415,0.45844,1.34413,1.01173,1.26174,0.00130393,0.00130393,0.00130393
13,3370.12,1.3359,0.89383,1.13552,0.76512,0.73038,0.79491,0.44289,1.3208,1.00156,1.28304,0.00127092,0.00127092,0.00127092
14,3624.08,1.33707,0.8862,1.12457,0.81724,0.72218,0.7927,0.45816,1.29561,0.98843,1.22657,0.00123791,0.00123791,0.00123791
15,3876.91,1.34709,0.88756,1.15113,0.86117,0.73612,0.81443,0.45687,1.32563,0.95724,1.24586,0.00120491,0.00120491,0.00120491
16,4126.9,1.31928,0.87096,1.1242,0.84959,0.71619,0.80875,0.47836,1.2625,0.92307,1.22281,0.0011719,0.0011719,0.0011719
17,4381.43,1.29236,0.84654,1.11684,0.80481,0.76816,0.82895,0.47231,1.3285,0.93476,1.29966,0.00113889,0.00113889,0.00113889
18,4631.74,1.30124,0.84408,1.11262,0.7908,0.7211,0.77564,0.43823,1.32771,0.95221,1.28515,0.00110589,0.00110589,0.00110589
